-12	56	4
6	50	12
8	36	2
24	24	-18
-12	22	28
-12	22	26
-32	20	-18
-28	16	32
-48	14	8
-10	10	44
-34	8	38
4	6	50
4	6	50
10	4	74
-2	4	44
24	4	-10
24	4	-16
40	2	62
-54	2	38
-26	-4	70
18	-4	-10
58	-4	-14
56	-4	-36
58	-6	-24
-14	-10	32
-44	-12	60
32	-12	-18
-44	-14	34
10	-14	-18
44	-16	-28
-6	-24	-14
-6	-24	-16
-44	-26	58
-50	-26	58
30	-28	-12
-16	-30	30
-60	-30	16
-50	-32	56
-36	-34	10
-38	-36	52
16	-36	30
14	-36	-12
-42	-38	-10
-40	-40	42
-40	-40	40
52	-40	30
-36	-42	50
50	-42	10
32	-44	44
52	-50	26
-56	-52	26
-52	-52	4
-30	-54	42
-14	-58	20
-14	-60	40
-16	-60	20
34	-62	42
-38	-62	22
44	-64	-4
26	-66	24
-16	-68	-4
-38	-70	2
18	-84	-10
10	-90	0
6	-92	16
6	-92	4
-20	-92	-4
2	-96	6
14	-100	6
14	-100	6
